symbol,Program,Grant Number,Partner Organization,Project Title,Award Amount:,Leveraged Funds:,Proposal_Number,Country,Summary,Notes,coordinates
small_red,Africa,96200-1-G071,Southern African Wildlife College,Training for Kruger National Park Natural Resource Managers,"$51,541.00","$15,742.00",AFR-0120,South Africa,"The purpose of this project is to support a training effort to improve management of Kruger National Park, South Africa.  Activities will include conducting courses in trans-frontier conservation area management, human-wildlife conflict, and community-based natural resource management.  The project will also build skills in anti-poaching techniques and geographical information systems for wildlife managers.",,"-23.578952, 31.545715"
small_red,Africa,96200-1-G107,Isaac Seme and Wildlife Conservation Society,"Building capacity to reduce bushmeat consumption and trade in neighboring villages around the Bor Corridor, South Sudan","$10,000.00","$6,000.00",AFR-0137,South Sudan,"The purpose of this project is to build the capacity of ex-poachers to address the illegal bushmeat trade in three villages (Jalle, Pariak, and Padak) around the Bor migratory corridor in the Boma-Jonglei landscape in South Sudan.  It will make consumers and sellers aware of the bushmeat crisis in South Sudan, and train ex-poachers to participate in fish production as an alternative to reduce bushmeat hunting in the Bor Corridor.",,"5.550988, 32.529907"
small_red,Africa,96200-1-G108,Tanzania Wildlife Division,Capacity building to reduce illegal elephant hunting and bushmeat trade in the Selous Ecosystem in Tanzania,"$11,778.00","$115,760.00",AFR-0138,Tanzania,"This purpose of this project is to respond to illegal elephant hunting for bushmeat in and around the Selous ecosystem.  Activities will include holding meetings with village leaders and wildlife managers to discuss the status of the bushmeat trade, organizing workshops to train game wardens and village scouts to monitor elephants killed for bushmeat and to report elephant deaths, interviewing village residents involved in the bushmeat trade, and launching an awareness campaign in villages and schools about illegal bushmeat hunting and consumption.",,"-8.736999, 37.633514"
small_red,Africa,96200-1-G111,Endangered Wildlife Trust,The Pan-African Vulture Conservation Initiative,"$43,000.00","$8,000.00",AFR-0122,Regional-Africa,"The purpose of this project is to organize an African Vulture Summit to build a network of vulture specialists, researchers and fieldworkers across the continent who can work together to communicate, share information, build capacity, and transfer skills.  The initiative will promote conservation interventions to address the growing threats leading to declines in vulture populations.",This project covers the entire Africa continent.,","
small_red,Africa,96200-1-G122,Okello Genesis,"Alternative income generating activities for cultural chiefs and reformed poachers group in areas around Murchison Falls Conservation Area, Uganda","$10,000.00","$3,626.00",AFR-0135,Uganda,The purpose of this grant is to build upon ongoing efforts to engage cultural chiefs and the reformed poachers around the Murchison Falls Conservation Area in conservation.  It will build the capacity of leaders to aid in reducing bushmeat trade and consumption by addressing protein and economic alternatives together with bushmeat awareness and law enforcement efforts.,,"2.223563, 31.794434"
small_red,Africa,96200-1-G191,Sea to Shore Alliance,Conserving the West African Manatee (Trichechus senegalensis): Capacity Building for Long-Term Success,"$77,263.00","$74,682.00",AFR-0106,Regional-Africa,"The purpose of this project is to build a collaborative network of African researchers and resource managers who can work together to conserve West African manatees in every country in the species range (the African Atlantic coast from Mauritania to Angola, and the interior countries of Mali, Niger and Chad).  Activities include training in manatee fieldwork techniques and provision of needed field equipment in the network members’ countries.  Information on manatees will be disseminated to stakeholders to enable them to make informed decisions regarding the conservation of the West African manatee.","This is a very geographically broad project, expanding the entire habitat range for the manatee in West Africa. The coordinates provided is the central location to the project range.","9.646484, 8.061523"
small_red,Africa,96200-1-J001,Ecole de Faune de Garoua,Scholarships and technical capacity building at Garoua Ecole de Faune,"$110,000.00","$20,828.00",AFR-0139,Regional- West and Central Africa,"[NOTE: $10,000 additional funded by GACF, total award $120,000.] The purpose of this cooperative agreement is to provide three USFWS scholarships to West and Central African wildlife professionals who will benefit from contact with USFWS and partner organizations over the course of their careers.  It also builds the capacity of Ecole de Faune de Garoua faculty to more effectively teach and conduct applied research on great apes and wildlife conservation.",,"9.331226, 13.385658"
small_red,Africa,96200-1-G007,Zoological Society of London,Developing a program and building capacity for the conservation of the pygmy hippopotamus (Choeropsis liberiensis) across its range states,"$51,566.00","$63,404.00",AFR-0113,Liberia and Sierra Leone,"The purpose of this project is to strengthen the capacity of governments and national stakeholders in the pygmy hippopotamus range states of Liberia and Sierra Leone. It will train senior government wildlife authority staff, NGO personnel and university staff in strategic planning, field techniques and wildlife monitoring; help develop an IUCN Species Survival Commission-endorsed Pygmy Hippo Conservation Strategy; determine the current distribution of and threats to the pygmy hippo; and raise awareness about this evolutionarily distinct and endangered species.",,"5.472617, -8.4375"
small_purple,Amphibians in Decline,96200-1-G269,Smithsonian Institution,Probiotic method to reduce the threat of chytridiomycosis to Panamanian Golden Frogs II,"$29,000.00","$29,027.00",AD-0072,Panama,"This project will test the ability of anti-fungal bacteria to persist on Panamanian golden frog skin and confer resistance to the fungal pathogen, Batrachochytrium dendrobatidis (Bd), which is affecting golden frog populations. Skin swabs of Panamanian frogs will determine if these beneficial bacteria can colonize and persist on the skin of the species, and laboratory trials will treat the frogs to determine if anti-fungal bacteria improves survival of frogs exposed to Bd.",,"8.580015, -80.169952"
small_purple,Amphibians in Decline,96200-1-G270,Zoological Society of London,Building a future for the Chinese giant salamander: a consolidated approach to the conservation of Andrias davidianus,"$24,955.00","$109,272.00",AD-0074,China,"This project will build a long-term program for conservation of the Chinese giant salamander. The grantee will conduct field surveys and genetic analysis of giant salamander populations in Anhui, Guangxi, Shaanxi, and Qing’hai, including surveillance for emerging infectious diseases.  The project will also build capacity for networks of Chinese experts and stakeholders at key institutions, and train Chinese conservationists in field and laboratory protocols.",,"34.383742, 108.232422"
small_purple,Amphibians in Decline,96200-1-G271,Madagasikara Voakajy,Supporting communities to conserve the critically endangered golden mantella frog in Madagascar,"$24,925.00","$49,653.00",AD-0076,Madagascar,"This project will engage the government of Madagascar to support community-based organizations to conserve the golden mantella frog.  The project will restore and protect breeding ponds damaged by gold mining, train at least 5 community members to collect field data, and establish a community-based conservation organization in Lakato Village.  Community outreach will promote amphibian conservation and establish a traditional law to protect the breeding ponds.",,"-19.033271, 48.122559"
small_purple,Amphibians in Decline,96200-1-G272,San Francisco State University,Can we prevent a chytridiomycosis epidemic in the Philippines?,"$24,997.00","$20,023.00",AD-0084,Philippines,"This project will comprehensively survey for Batrachochytrium dendrobatidis (Bd) in the Phillippines and attempt to lower Bd infection intensity by treating frogs with beneficial bacteria.  The grantee will treat free-ranging amphibians with native mutually beneficial bacteria, and monitor the treatment’s success against the fungal pathogen responsible for chytridiomycosis.","This is a nation-wide project, the coordinates provided is the location of the initial outbreak.","14.239112, 120.654583"
small_purple,Amphibians in Decline,96200-1-G273,University of Basel,Conserving threatened amphibians of the Ethiopian highlands,"$30,650.00","$26,635.00",AD-0088,Ethiopia,"This project will develop management plans for at least four target amphibian species in the Ethiopian highlands, including revision of the species’ IUCN Red List assessments and public outreach.  The grantee will conduct disease surveillance and field surveys of species distribution and habitat, including less developed forest sites in Bale Mountain National Park and the Simien Mountains, and training for government wildlife authorities in amphibian conservation and field data collection.",,"6.648997, 39.247894"
small_purple,Amphibians in Decline,96200-1-G274,Denver Zoological Foundation,Conserving Peru's Lake Titacaca frog,"$23,390.00","$102,330.00",AD-0089,Peru,"This project will reduce harvest of the Lake Titicaca frog in Peru and increase awareness of the conservation status of the species.  The grantee will conduct field surveys to assess population trends, sampling for genetic analysis and fungal chytrid pathogen, and public outreach to promote amphibian conservation.  An amphibian breeding center will be established at the Universidad Nacional del Altiplano (UNA) at Puno.",,"-15.744382, -69.373474"
small_purple,Amphibians in Decline,96200-1-G275,Wildlife Information Liaison Development Society-Zoo Outreach Organization,"Evaluation and impact of chytridiomycosis on the endemic, highly threatened amphibians of
the Western Ghats","$24,640.00","$43,010.00",AD-0090,India,"This project will sample for the presence of the fungal pathogen, Batrachochytrium dendrobatidis (Bd) in the threatened amphibians of the Western Ghats, India.  The grantee will conduct a field survey of the status of Bd in at least 10 locations, develop a policy document that addresses exotic species in the aquarium trade, and coordinate public outreach to promote amphibian conservation.",The coordinates provided is the location of one out of at least 10 study locations across western India. This location is centurally located in the project's study area.,"15.201742, 74.638672"
small_purple,Amphibians in Decline,96200-1-G276,CapeNature,Rough moss frog habitat protection project,"$42,307.00","$36,756.50",AD-0098,South Africa,"This project will restore at least 1,350 hectares of habitat for the rough moss frog in southern South Africa by controlling an invasive pine tree that increases the risk of catastrophic fire. The grantee will also conduct at least 6 field surveys of rough moss frog abundance.",,"-34.191058, 19.49213"
small_purple,Amphibians in Decline,96200-1-G277,Fundacion Ontaga,"Emergency action for the conservation of Hyloxalus jacobuspetersi (Amphibia: Dendrobatidae), a species at the verge of extinction","$24,999.00","$4,550.00",AD-0103,Ecuador,"This project will establish a captive assurance colony for a species of poison arrow dart frog, Hyloxalus jacobuspetersi, in central Ecuador.  The grantee will conduct field surveys and behavioral studies of wild individuals in the Valle de los Chillos, including disease surveillance to determine frequency of infection and chytrid’s impact on the survival of target species.  The grantee will also protect and restore habitat for the species, including re-routing of a visitor path.",,"-0.636889, -79.005737"
small_purple,Amphibians in Decline,96200-1-G278,University of South Dakota,Identifying antifungal cutaneous bacteria for potential biocontrol of the amphibian chytrid fungus in Costa Rica,"$34,997.00","$12,947.00",AD-0107,Costa Rica,"This grant will support the costs of culturing bacteria from amphibian populations that have survived chytridiomycosis epidemics to search for microbes that may increase resistance to the disease.  The grantee will grow different types of bacteria found on at least 20 wild frogs from 10 populations in Costa Rica, and conduct trials to identify the bacteria species that inhibits the fungal pathogen responsible for chytridiomycosis.",The coordinates provided is the location of one out of 10 study locations across Costa Rica. This location is centrually located in the project's study area,"9.368074, -83.183289"
small_purple,Amphibians in Decline,96200-1-G279,Drexel University,"Conservation of Bioko Island's endangered amphibians, Arlequins krebis and Didynamipus sjostedti","$10,609.00","$11,681.00",AD-0113,Equatorial Guinea,"This project will prevent immediate destruction of critical habitat for two endangered frogs on Bioko Island, Equatorial Guinea.  The grantee will conduct a habitat assessment and coordinate with a road construction company, Razel Inc., to mitigate the effects of a new road.  The grantee will also promote amphibian conservation to local authorities.",,"3.343443, 8.656664"
small_purple,Amphibians in Decline,96200-1-G280,The Natural History Museum,Conservation of Cameroon's caecilian amphibians,"$24,955.00","$25,432.00",AD-0116,Cameroon,"This project will support five species of poorly known caecilians in Cameroon by building national capacity in caecilian natural history and conservation.  The grantee will conduct field surveys in forested areas, reassessments of the species’ conservation status, and training for Cameroonian personnel in caecilian biology and conservation.",The coordinates provided is one of several survey locations throughout Cameroon.,"6.106494, 9.321823"
small_purple,Amphibians in Decline,96200-1-G291,National Museums of Kenya,"Habitat restoration for the critically endangered Sagalla caecilian Boulengerula niedeni Muller, Measey, Loader & Malonza, 2005 in Sagalla Hill, Kenya","$22,917.00","$11,995.00",AD-0070,Kenya,"This project will address the direct threats affecting the Sagalla caecilian including soil erosion, water draining, and siphoning effects of exotic plant species. The grant will support hiring and supervising of community participants to identify and plant the most viable native tree species for each location.  The grantee will develop educational materials on procedures for tendering and maintenance of native plant species.",,"-3.482389, 38.569546"
measle_brown,Grate Ape,96200-1-G232,Wildlife Conservation Society,"Continued conservation and monitoring of the yellow-cheeked crested gibbon (Nomascus gabriellae) in Southern Mondulkiri, Cambodia","$59,386.00","$59,303.00",GA-0784,Cambodia,"This grant will support continuing efforts to maintain gibbon populations at their 2008 levels in the core area of  Seima Protection Forest.   The project will protect gibbons and their habitat, assessing the effectiveness of conservation management through the monitoring of gibbons and other target species, and improve the capacity of Cambodian scientists to analyze the results of 7 years of gibbon conservation.",,"12.431063, 106.825562"
measle_brown,Grate Ape,96200-1-G235,Wildlife Conservation Society,Northern Plains of Cambodia Pileated Gibbon Conservation Project: Phase 3,"$57,244.00","$61,351.00",GA-0847 Asia,Cambodia,"This grant will support basic equipment, monitoring and targeted patrols to ensure that the pileated gibbon is protected in its most important habitats of this landscape.  The grantee will retrain staff in law enforcement techniques and MIST data collection, ensuring effective protection through targeted patrol planning and improved government relations.",,"14.089887, 105.485229"
measle_brown,Grate Ape,96200-1-G010,Zoological Society of San Diego,"Long-term research and conservation of gorillas and chimpanzees in the Ebo Forest, Cameroon","$138,162.00","$248,882.00",GA-0701,Cameroon,"This two-year project will assist the government of Cameroon in the gazettement and demarcation of the proposed Ebo National Park. The grantee will monitor wildlife, support law enforcement activities undertaken by the Ministry of Forestry and Wildlife to conserve key populations of gorillas and chimpanzees, and continue to deploy camera traps throughout the forest to document chimpanzee behavior and record hunter presence in the reserve.",,"4.3389, 10.4519"
measle_brown,Grate Ape,96200-1-G178,North Carolina Zoological Society,Use of trained detection dogs to non-invasively collect fecal samples from the Critically Endangered Cross River gorilla (Gorilla gorilla diehli) in Cameroon,"$46,870.00","$46,900.00",GA-0807 Africa,Cameroon,This project will improve the evaluation capacity of Cross River gorilla conservation efforts by exploring the feasibility of using detection dogs both for fecal collection and to identify illegal bushmeat at Douala international airport.,,"6.135, 9.7664"
measle_brown,Grate Ape,96200-1-G184,Zoological Society of London,Wildlife Wood Project: ensuring responsible wildlife management in timber production forests in Cameroon,"$51,968.00","$71,060.00",GA-0852 Africa,Cameroon,"This project will ensure responsible wildlife management in the timber production forests of Central Africa for the benefit of local populations, national governments, and the logging sector.",,"3.247, 14.306"
measle_brown,Grate Ape,96200-1-G125,"World Wildlife Fund, Inc.","Securing the long-term sustainability of gorilla tourism as a conservation tool at Dzanga-Sangha, Central African Republic: a World Wildlife Fund-U.S. Fish and Wildlife Service Great Ape Conservation Fund partnership","$159,457.00","$198,263.00",GA-0776,Central African Republic,This project will secure the long-term protection of Dzanga-Sangha National Park through surveillance of illegal activity and a gorilla tourism program.,,"2.987, 16.223"
measle_brown,Grate Ape,96200-1-G199,"World Wildlife Fund, Inc.","Improving protection of great apes in the Dzanga-Sangha Protected Areas, Central African Republic","$106,043.00","$171,100.00",GA-0839 Africa,Central African Republic,This project will secure the long-term protection of great apes and other wildlife in the Sangha Tri-National Landscape through increased transboundary surveillance and law-enforcement.,,"2.987, 16.223"
measle_brown,Grate Ape,96200-1-G115,Wildlife Conservation Society,"Developing a strategic plan to conserve the great apes of the Ndoki Landscape, Republic of Congo","$63,560.00","$29,355.00",GA-0770,Congo,"This project will develop a unified conservation strategy to implement a landscape approach to conserving great apes, elephants, and other wildlife in the Ndoki Landscape of the Republic of Congo.",,"2.506, 16.616"
measle_brown,Grate Ape,96200-1-G180,International Conservation and Education Fund,Great ape public awareness project using video-centered education outreach,"$84,304.00","$116,314.00",GA-0810,Congo,"This project will raise awareness of rural communities to conserve great ape populations in the Northern Republic of Congo.  The grantee will use a participatory approach involving screenings and dissemination of video to reduce illegal bushmeat hunting, ritual wildlife killings, habitat destruction, and disease transmission.",,"1.4344, 16.2283"
measle_brown,Grate Ape,96200-1-G185,Wildlife Conservation Society,Goualougo Triangle Ape Project: developing conservation policies and local leadership to ensure the long-term survival of chimpanzees and gorillas,"$194,689.00","$169,572.00",GA-0833,Congo,"This grant will support the development of professional capacity to implement conservation programs, enhanced surveillance and protection to ape populations in an active logging concession, and an expanded conservation outreach program.",,"2.117, 16.528"
measle_brown,Grate Ape,96200-1-G193,International Conservation and Education Fund,Digital media as a mobile education tool to decrease hunting  and consumption of bushmeat and bonobos in the Salonga-Lukenie-Sankuru Landscape,"$116,391.00","$151,929.00",GA-0861,Congo,This project will conserve bonobo populations in Salonga National Park using a participatory approach that involves film screenings and distribution in local languages to reduce bushmeat hunting among rural communities in the Equateur province of the Democratic Republic of Congo.,,"-2.105, 21.304"
measle_brown,Grate Ape,96200-1-G196,Wildlife Conservation Society,"Great ape conservation and monitoring in the Lac Tele Landscape, Republic of Congo","$183,876.00","$100,775.00",GA-0832 Africa,Congo,"This grant will support the conservation of populations of great apes and elephants in the Lac Tele Community Reserve through a program of law enforcement, evaluation of conservation impact, and training.",,"1.189, 17.23"
measle_brown,Grate Ape,96200-1-G021,Wild Chimpanzee Foundation-Africa,Tai-Sapo Complex: (Cote d'Ivoire - Liberia) improving the conservation of the last remaining West African Chimpanzees,"$295,478.00","$277,080.00",GA-0766,Cote d'Ivoire/Ivory Coast,"This project will implement a transboundary conservation program to improve management of protected areas throughout the complex with an emphasis on training, monitoring, law enforcement, and community outreach and education.",,"5.809, -7.154"
measle_brown,Grate Ape,96200-1-G033,Wildlife Conservation Society,"Conservation of Grauer's gorillas in the Kahuzi-Biega National Park, Democratic Republic of Congo","$84,832.00","$81,606.00",GA-0772,DRC,This project will increase the law enforcement and community outreach capacity of the Congolese Institute for Nature Conservation in the lowland sector of Kahuzi-Biega National Park.,,"-1.963, 28.019"
measle_brown,Grate Ape,96200-1-G103,"Lukuru Wildlife Research Foundation, Inc",Community drafting and acceptance of conservation zoning across the Tshuapa-Lualaba (TL2) landscape.,"$150,000.00","$485,858.00",GA-0802,DRC,This project will create new protected areas in the Tshuapa-Lualaba landscape through a participatory process of local zoning and the creation of a national park.,,"-0.939, 24.804"
measle_brown,Grate Ape,96200-1-G181,Les Amis des Bonobos du Congo,Zamba ya bonobo - expanding the educational and conservation impact of the reintroduction program at Ekolo Ya Bonobo,"$19,988.00","$12,358.00",GA-0814,DRC,This project will determine the feasibility of a community based eco-tourism scheme for bonobos in Democratic Republic of Congo.,,"1.1897, 19.7572"
measle_brown,Grate Ape,96200-1-G194,Max Planck Institute for Evolutionary Anthropology,"Improving in-situ conservation of bonobos (Pan paniscus) by envrionmental education and capacity building in schools and villages West of Salonga National Park, Democratic Republic of Congo","$55,585.00","$44,382.00",GA-0806,DRC,"This project will reduce illegal hunting and habitat degradation in Salonga National Park through an environmental education program among rural communities in the Bandundu province, Democratic Republic of Congo.",,"-2.105, 21.304"
measle_brown,Grate Ape,96200-1-G195,Wildlife Conservation Society,Protecting the eastern chimpanzee in northern Katanga forests (Kabogo Forest and Luama Hunting Reserve) through community engagement,"$98,090.00","$47,916.00",GA-0830 Africa,DRC,This grant will support the conservation of the chimpanzee population in the Ngamikka-Luama Landscape by engaging and building the capacity of local communities.,,"-5.49, 29.226"
measle_brown,Grate Ape,96200-1-J011,Africa Conservation Fund,Virunga National Park Rangers' and Widows' Fund,"$132,764.00","$130,040.00",GA-0813 Africa,DRC,This cooperative agreement will improve ranger morale through the creation of a fund to provide support to the widows of park rangers killed in the line of duty.,,"-1.375, 29.429"
measle_brown,Grate Ape,96200-1-G112,Max Planck Institute for Evolutionary Anthropology,"Conservation and research of western gorillas in Loango National Park, Gabon","$78,755.00","$58,800.00",GA-0778,Gabon,"This project will provide an effective deterrent to poaching in Loango National Park through regular surveillance for illegal activities, strategic monitoring of gorillas and other large mammals.  It will also strengthen national capacity for science-based conservation and adaptive management, and conservation education.",,"-2.118, 9.592"
measle_brown,Grate Ape,96200-1-G197,Protector of Great Apes of Moukalaba,"Building capacity for the conservation of great apes in the Moukalaba-Doudou National Park, Gabon","$58,605.00","$110,030.00",GA-0849 Africa,Gabon,This project will secure the eastern border of Moukalaba-Doudou through community-based ecotourism activities and a targeted environmental education campaign.,,"-2.456, 10.415"
measle_brown,Grate Ape,96200-1-G200,Zoological Society of London,Conserving the great apes of the Djoua-Zadie-Mwagna area of northeast Gabon,"$49,865.00","$25,567.00",GA-0760,Gabon,This project will facilitate the development and implementation of an action plan to conserve great apes and forest elephants in the Djoua-Zadia-Mwanga area of Gabon.,,"0.473, 13.775"
measle_brown,Grate Ape,96200-1-G290,Wildlife Conservation Society,Protecting Gabon's great ape populations via improved law enforcement,"$119,711.00","$75,024.00",GA-0858 Africa,Gabon,This project will improve the effectiveness of national parks and help to conserve their great ape populations by supporting and independently monitoring the efforts of the Gabonese National Parks Agency (ANPN).,"NOTE: Split funding, $43,125 USAID and $76,586 GACF","-0.525, 11.542"
measle_brown,Grate Ape,96200-1-G109,Primate Research Centre,"Conservation of western Hoolock gibbon in Langlakso-Mikir Hills-Koliyoni and Marat Longri-Patradisa-Longnit Priority Landscapes, Assam, India","$51,948.00","$22,260.00",GA-0767,India,"This project will gather information needed to improve management of gibbons and their habitats and develop public support for gibbon conservation. The grantee will conduct a population estimation and demographic status survey of significant habitats in these landscapes, assessing vegetation and mapping gibbon habitat and the extent of fragmentation.  Awareness camps for schools and outdoor nature orientation camps on gibbon conservation will be organized for fringe villages.",,"26.634502, 93.398132"
measle_brown,Grate Ape,96200-1-G234,AARANYAK,"Training of frontline staff for Hoolock gibbon conservation in the state of Arunachal Pradesh, India","$49,995.00","$38,749.00",GA-0812 Asia,India,"This project will train foresters to manage the gibbon habitat within their work area.  They will learn about the importance of the species and its habitat, the legal protection afforded gibbons and other wildlife by Indian law, how to conduct gibbon population estimates, how to protect gibbons through patrolling and outreach education, and how to identify, age and sex gibbons and other primates.",,"28.13847, 95.811615"
measle_brown,Grate Ape,96200-1-G237,Wildlife Areas Development and Welfare Trust,"Training on habitat management and wildlife conservation for the front line forest personnel of the Protected Areas of Northeast India, Phase III","$45,516.00","$86,880.00",GA-0825,India,"This grant will support training for ground level forest staff of the protected areas of Assam in modern techniques of wildlife conservation and habitat management, including anti-poaching techniques.  Emphasis will be given to the conservation of gibbons, other primates, tigers, elephants and rhinos.  Courses will vary in length from three days to two weeks and will reach a total of 250 trainees.",,"26.149591, 91.651145"
measle_brown,Grate Ape,96200-1-G098,Australian Orangutan Project,"Support for wildlife protection units in the Bukit Tigapuluh ecosystem, Jambi, Sumatra to protect the critically endangered Sumatran orangutan (Pongo abelii)","$44,999.00","$3,190.00",GA-0774,Indonesia,This project will provide basic ranger training to recruits to establish two additional wildlife protection units.  A vehicle for transportation of the units to their patrol areas will also be provided.  This is needed to strengthen the patrol network of the Bukit Tigapuloh Ecosystem.,,"-0.848968, 102.416992"
measle_brown,Grate Ape,96200-1-G100,Frankfurt Zoological Society,Orangutan protection patrols and orangutan population monitoring in the Bukit Tigapuluh Landscape,"$39,684.00","$223,054.00",GA-0785,Indonesia,This grantee will establish two new four person patrol teams to monitor recently released orangutans and conduct a landscape-wide orangutan distribution survey.  The project will protect the orangutans and their habitat in the buffer zone of the park where forest encroachment and illegal logging are still common.,,"-1.12881, 102.306404"
measle_brown,Grate Ape,96200-1-G102,Wildlife Conservation Society,Orangutan conservation through effective law enforcement and media support,"$61,176.00","$63,328.00",GA-0747,Indonesia,"This project will increase the orangutan population of northern Sumatra by decreasing orangutan poaching, human-orangutan conflict, and habitat fragmentation and loss.  The grantee will conduct wildlife crimes investigations, provide legal case advice to government authorities, conduct human-wildlife conflict patrols, and raise awareness of orangutan conservation using the mass media.",,"2.514451, 97.750854"
